ibge7;Município;2010;2016;2018
3110905;Campanha;0,405;0,467;0,443
3111002;Campestre;0,404;0,505;0,584
3111101;Campina Verde;0,427;0,527;0,447
3111150;Campo Azul;0,286;0,184;0,156
3111200;Campo Belo;0,583;0,634;0,705
3111309;Campo do Meio;0,537;0,340;0,394
3111408;Campo Florido;0,479;0,592;0,659
3111507;Campos Altos;0,472;0,502;0,709
3111606;Campos Gerais;0,375;0,445;0,550
3111903;Cana Verde;0,410;0,291;0,255
3111705;Canaã;0,502;0,338;0,517
3111804;Canápolis;0,496;0,367;0,157
3112000;Candeias;0,499;0,489;0,699
3112059;Cantagalo;0,309;0,281;0,113
3112109;Caparaó;0,458;0,277;0,466
3112208;Capela Nova;0,389;0,531;0,739
3112307;Capelinha;0,363;0,470;0,536
3112406;Capetinga;0,447;0,400;0,349
3112505;Capim Branco;0,385;0,543;0,504
3112604;Capinópolis;0,427;0,488;0,287
3112653;Capitão Andrade;0,389;0,507;0,672
3112703;Capitão Enéas;0,310;0,471;0,372
3112802;Capitólio;0,650;0,156;0,170
3112901;Caputira;0,414;0,401;0,287
3113008;Caraí;0,283;0,418;0,235
3113107;Caranaíba;0,493;0,428;0,415
3113206;Carandaí;0,425;0,449;0,636
3113305;Carangola;0,397;0,529;0,566
3113404;Caratinga;0,635;0,568;0,657
3113503;Carbonita;0,519;0,542;0,662
3113602;Careaçu;0,461;0,562;0,646
3113701;Carlos Chagas;0,240;0,480;0,514
3113800;Carmésia;0,467;0,519;0,709
3113909;Carmo da Cachoeira;0,574;0,535;0,661
3114006;Carmo da Mata;0,550;0,515;0,526
3114105;Carmo de Minas;0,450;0,491;0,623
3114204;Carmo do Cajuru;0,504;0,540;0,606
3114303;Carmo do Paranaíba;0,517;0,556;0,682
3114402;Carmo do Rio Claro;0,519;0,441;0,584
3114501;Carmópolis de Minas;0,626;0,644;0,859
3114550;Carneirinho;0,356;0,508;0,552
3114600;Carrancas;0,504;0,425;0,142
3114709;Carvalhópolis;0,406;0,672;0,841
3114808;Carvalhos;0,413;0,361;0,523
3114907;Casa Grande;0,459;0,099;0,057
3115003;Cascalho Rico;0,411;0,359;0,438
3115102;Cássia;0,395;0,444;0,518
3115300;Cataguases;0,440;0,552;0,594
3115359;Catas Altas;0,714;0,562;0,582
3115409;Catas Altas da Noruega;0,394;0,384;0,631
3115458;Catuji;0,299;0,442;0,277
3115474;Catuti;0,359;0,452;0,110
3115508;Caxambu;0,466;0,523;0,395
3115607;Cedro do Abaeté;0,360;0,369;0,358
3115706;Central de Minas;0,360;0,570;0,425
