
"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"310520 Bandeira";338;423;465;419;396;356;356;322;367;316;286;253;233;199;128;102;120;5079
"310530 Bandeira do Sul";342;378;478;502;462;435;423;420;399;348;334;237;231;165;124;78;80;5436
"310540 Barão de Cocais";2111;2196;2592;2534;2731;2685;2423;2079;1939;1974;1729;1265;861;583;501;353;409;28965
"310550 Barão de Monte Alto";346;417;493;532;432;385;362;372;390;409;346;323;269;222;185;153;189;5825
"310560 Barbacena";7751;8477;10168;10899;10817;10392;10012;9466;9746;9408;8664;6547;5257;3819;2881;2024;2277;128605
"310570 Barra Longa";349;400;522;519;404;379;385;400;419;446;441;390;308;244;222;189;239;6256
"310590 Barroso";1331;1538;1661;1690;1639;1599;1548;1500;1523;1469;1186;925;759;580;432;312;267;19959
"310600 Bela Vista de Minas";764;824;923;849;868;850;792;670;704;697;583;403;380;278;262;183;158;10188
"310610 Belmiro Braga";236;261;302;296;236;211;246;254;289;246;181;163;151;137;98;72;87;3466
"310620 Belo Horizonte";139756;151965;174002;185375;221905;234066;216869;181380;171728;167270;150054;120611;94509;69989;54156;38859;46297;2418791
"310630 Belo Oriente";1868;1975;2450;2214;2096;2109;1967;1766;1549;1365;1135;980;715;540;416;342;340;23827
"310640 Belo Vale";438;502;624;635;563;594;523;538;564;587;458;447;379;271;230;153;168;7674
"310650 Berilo";839;1088;1426;1468;1227;1005;880;790;790;651;570;489;375;309;271;166;182;12526
"310665 Berizal";363;407;408;448;419;386;309;276;256;265;231;177;160;119;92;56;78;4450
"310660 Bertópolis";441;428;477;440;347;346;318;278;259;251;198;198;145;169;130;67;89;4581
"310670 Betim";29543;31418;36350;35454;36622;37367;35039;29810;27578;23857;20342;14598;9513;6530;4826;3037;3153;385037
"310680 Bias Fortes";210;285;340;297;255;247;251;303;280;268;256;235;205;146;112;78;95;3863
"310690 Bicas";833;900;1071;1091;1031;1130;930;899;948;1028;924;789;672;519;413;347;379;13904
"310700 Biquinhas";117;162;196;209;189;152;169;182;218;218;175;168;155;140;99;72;57;2678
