"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"310010 Abadia dos Dourados";412;414;446;550;512;483;523;510;531;549;456;395;367;281;214;125;133;6901
"310020 Abaeté";1300;1394;1621;1833;1785;1767;1637;1580;1610;1734;1655;1428;1164;894;692;501;571;23166
"310030 Abre Campo";867;917;1023;1094;1092;990;1018;977;898;917;868;743;625;469;364;302;346;13510
"310040 Acaiaca";269;282;280;346;322;270;286;285;282;256;251;202;175;141;131;91;124;3993
"310050 Açucena";661;680;809;916;794;675;659;666;667;621;577;513;450;381;331;267;345;10012
"310060 Água Boa";1164;1193;1423;1551;1310;1045;946;967;875;849;762;619;557;396;344;253;266;14520
"310070 Água Comprida";100;107;135;150;166;172;149;140;144;141;139;123;115;87;59;52;54;2033
"310080 Aguanil";258;268;288;361;321;303;307;310;286;305;296;277;240;172;115;92;92;4291
"310090 Águas Formosas";1424;1495;1685;1681;1645;1434;1460;1258;1205;1079;997;809;766;632;560;428;438;18996
"310100 Águas Vermelhas";1014;1053;1195;1227;1240;1107;946;878;796;735;708;603;502;424;314;216;263;13221
"310110 Aimorés";1627;1710;1858;1973;1950;1826;1819;1846;1743;1682;1624;1422;1180;943;745;595;761;25304
"310120 Aiuruoca";301;331;426;469;481;430;397;430;418;465;454;412;328;256;216;161;176;6151
"310130 Alagoa";159;164;179;219;202;175;175;158;175;228;238;183;148;107;69;63;78;2720
"310140 Albertina";184;185;209;273;243;222;234;230;242;188;164;154;148;95;85;59;70;2985
"310150 Além Paraíba";2113;2250;2483;2804;2724;2513;2637;2542;2404;2443;2444;2143;1660;1253;946;759;1036;35154
"310160 Alfenas";4769;4976;5485;6285;6399;6511;6317;5898;5225;5177;5041;4332;3526;2630;1862;1350;1561;77344
"310163 Alfredo Vasconcelos";436;459;513;555;551;493;493;493;478;492;400;321;265;199;157;104;106;6515
"310170 Almenara";2936;3071;3250;3333;3333;3506;3358;2917;2664;2510;2243;1816;1616;1257;1074;810;890;40584
"310180 Alpercata";486;523;621;674;599;529;553;544;493;428;429;361;312;242;220;162;183;7359
"310190 Alpinópolis";1208;1234;1408;1710;1666;1596;1502;1339;1298;1365;1238;1069;882;604;443;346;386;19294
"310200 Alterosa";874;900;1021;1115;1065;1085;1068;999;988;957;930;800;680;564;432;341;376;14195
"310205 Alto Caparaó";400;400;445;488;465;482;456;418;394;355;333;268;222;150;115;95;114;5600
"315350 Alto Jequitibá";537;560;633;694;643;652;640;616;548;565;543;481;400;258;200;177;254;8401
"310210 Alto Rio Doce";636;699;834;969;976;865;808;799;776;854;763;684;582;484;382;295;347;11753
"310220 Alvarenga";273;296;313;332;342;315;324;291;267;256;289;255;198;154;124;94;122;4245
"310230 Alvinópolis";919;965;1100;1253;1236;1137;1153;1106;996;1045;996;845;703;598;457;374;504;15387
"310240 Alvorada de Minas";360;349;375;350;313;253;236;224;229;199;170;149;132;78;72;54;66;3609
"310250 Amparo do Serra";291;308;358;419;392;313;341;351;328;338;314;285;229;190;152;129;166;4904
"310260 Andradas";2221;2362;2585;3016;3143;3167;3165;2985;2866;2821;2645;2280;1874;1415;1050;807;974;39376
"310280 Andrelândia";669;729;844;892;912;812;907;952;894;910;882;789;653;519;368;274;312;12318
"310285 Angelândia";738;729;878;920;800;679;633;551;454;426;352;291;254;207;159;117;130;8318
"310290 Antônio Carlos";638;679;819;929;944;878;848;878;876;819;785;615;506;429;303;206;224;11376
"310300 Antônio Dias";695;701;778;882;814;729;683;686;652;644;591;482;374;277;223;176;161;9548
"310310 Antônio Prado de Minas";66;78;104;115;116;109;106;104;111;129;138;104;98;80;69;57;71;1655
"310320 Araçaí";140;149;180;200;176;168;161;155;157;176;160;123;101;95;64;52;56;2313
"310330 Aracitaba";91;103;133;151;156;136;132;136;134;177;158;156;128;94;71;53;72;2081
"310340 Araçuaí";2709;2808;3019;3276;3384;3048;2906;2500;2331;2176;1972;1561;1264;1088;930;751;967;36690
"310350 Araguari";6723;7145;7898;8753;8995;9368;9065;8804;8228;8419;7697;6353;5180;4056;3004;2226;2384;114298
"310360 Arantina";153;173;205;223;201;158;179;196;214;249;208;184;156;108;83;75;74;2839
"310370 Araponga";583;595;712;770;737;737;722;682;552;492;453;357;301;225;160;137;149;8364
"310375 Araporã";516;513;504;608;608;587;563;526;442;407;298;261;215;184;125;90;88;6535
"310380 Arapuá";147;158;163;196;199;160;196;208;237;239;178;162;168;136;105;88;90;2830
"310390 Araújos";625;649;674;722;721;790;715;632;591;556;505;401;297;235;178;133;171;8595
"310400 Araxá";5971;6300;6876;7941;8488;9090;8874;7772;6839;6844;6412;5692;4430;3073;2283;1621;1817;100323
"310410 Arceburgo";680;723;731;814;888;948;797;720;665;650;581;535;445;324;260;190;228;10179
"310420 Arcos";2167;2335;2524;2951;3069;3286;3387;3042;2782;2862;2668;2237;1737;1293;909;620;684;38553
"310430 Areado";925;965;985;1088;1196;1201;1153;1069;933;979;933;812;632;522;420;315;350;14478
"310440 Argirita";149;158;179;217;207;227;199;200;180;201;175;185;143;128;110;79;114;2851
"310445 Aricanduva";433;430;457;462;485;375;376;329;286;285;258;241;176;145;111;75;104;5028
"310450 Arinos";1469;1481;1606;1628;1541;1338;1371;1244;1065;1062;1000;836;691;528;426;320;336;17942
"310460 Astolfo Dutra";798;845;887;1093;1149;1159;1077;1024;915;982;894;739;614;492;399;271;356;13694
"310470 Ataléia";923;980;1140;1185;1132;974;942;915;870;873;818;767;662;523;451;321;402;13878
"310480 Augusto de Lima";361;373;406;404;425;364;350;345;324;316;307;243;197;169;143;110;131;4968
"310490 Baependi";1069;1175;1349;1448;1537;1437;1423;1316;1267;1320;1324;1122;936;718;528;390;514;18873
"310500 Baldim";511;541;574;620;646;561;555;508;498;559;560;456;371;297;261;194;241;7953
"310510 Bambuí";1137;1256;1485;1774;1800;1790;1677;1608;1719;1852;1775;1489;1185;950;755;601;607;23460
"310520 Bandeira";319;337;377;376;366;372;346;343;327;356;307;272;237;209;163;104;139;4950
"310530 Bandeira do Sul";337;351;399;496;500;464;429;409;401;379;342;309;227;200;139;97;98;5577
"310540 Barão de Cocais";2112;2165;2317;2703;2685;2805;2687;2370;2043;1948;1915;1593;1150;758;517;412;492;30672
"310550 Barão de Monte Alto";320;344;388;437;445;390;365;354;365;386;392;334;305;242;193;152;218;5630
"310560 Barbacena";7528;8036;9038;10630;10990;10752;10435;9979;9476;9649;9115;8044;6028;4590;3239;2316;2722;132567
"310570 Barra Longa";305;325;356;403;383;345;355;366;383;406;433;404;345;270;211;182;272;5744
"310590 Barroso";1283;1363;1565;1655;1620;1602;1584;1529;1473;1484;1388;1096;849;666;489;345;355;20346
"310600 Bela Vista de Minas";724;750;817;876;793;807;796;735;657;690;663;530;378;333;247;211;212;10219
"310610 Belmiro Braga";226;230;251;275;270;225;215;247;255;273;227;170;151;138;116;79;101;3449
"310620 Belo Horizonte";132635;140639;163057;189204;196118;218052;222608;203720;173824;166546;158391;138451;110043;85398;61472;45027;55729;2460914
"310630 Belo Oriente";1910;1921;2084;2417;2174;2103;2099;1941;1720;1515;1332;1095;890;655;478;356;444;25134
"310640 Belo Vale";416;453;509;588;583;545;581;534;542;573;575;457;409;321;230;179;198;7693
"310650 Berilo";815;881;1074;1238;1210;1080;961;855;778;761;623;529;435;328;266;208;214;12256
"310665 Berizal";353;362;383;379;415;412;372;306;276;260;261;221;171;143;103;74;89;4580
"310660 Bertópolis";432;401;387;404;380;333;332;305;271;260;233;189;179;141;144;101;100;4592
"310670 Betim";29990;30045;33295;38504;37414;37573;37137;33819;28733;26335;22627;18685;13136;8425;5642;3896;3970;409226
"310680 Bias Fortes";192;210;260;279;242;230;241;251;285;268;257;240;210;169;118;86;105;3643
"310690 Bicas";793;854;931;1088;1067;1035;1087;917;909;970;1003;882;744;610;458;353;471;14172
"310700 Biquinhas";106;124;158;173;189;177;152;169;188;219;207;173;160;137;115;79;78;2604
"310710 Boa Esperança";2507;2633;3023;3417;3362;3169;2959;2677;2582;2607;2569;2333;1788;1318;1011;726;954;39635
"310720 Bocaina de Minas";253;276;349;393;398;365;356;401;383;415;378;305;257;179;150;113;124;5095
"310730 Bocaiúva";3591;3706;4156;4412;4516;4441;3894;3581;3122;3059;2686;2209;1693;1273;975;698;736;48748
"310740 Bom Despacho";2852;3064;3570;4004;4117;4064;3776;3574;3413;3484;3225;2691;2039;1541;1174;850;909;48347
"310750 Bom Jardim de Minas";361;397;449;512;472;406;440;466;491;489;477;414;344;267;217;176;175;6553
