"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"310010 Abadia dos Dourados";412;418;505;536;493;508;521;519;546;512;435;406;348;275;190;116;124;6864
"310020 Abaeté";1326;1500;1796;1855;1812;1737;1636;1590;1678;1724;1578;1343;1078;843;658;456;527;23137
"310030 Abre Campo";882;992;1121;1159;1055;1019;1020;942;915;908;827;713;575;437;369;285;314;13533
"310040 Acaiaca";271;279;337;364;304;281;287;295;270;259;227;188;162;147;120;87;115;3993
"310050 Açucena";667;774;985;952;773;684;678;676;647;614;563;505;434;379;325;272;309;10237
"310060 Água Boa";1186;1387;1719;1615;1264;1030;1005;956;888;846;724;629;508;408;343;233;252;14993
"310070 Água Comprida";102;124;144;165;172;166;148;144;143;139;138;126;106;75;61;48;46;2047
"310080 Aguanil";255;268;332;342;309;303;310;290;292;298;286;263;224;153;119;79;87;4210
"310090 Águas Formosas";1422;1646;1805;1791;1556;1474;1364;1246;1148;1063;915;811;720;629;546;376;396;18908
"310100 Águas Vermelhas";1010;1144;1287;1313;1205;1044;929;836;763;731;665;570;481;387;288;193;244;13090
"310110 Aimorés";1651;1807;2012;2050;1924;1851;1872;1805;1728;1698;1569;1362;1121;895;736;576;703;25360
"310120 Aiuruoca";311;381;465;501;471;419;427;422;446;465;445;381;306;254;207;157;155;6213
"310130 Alagoa";162;171;215;226;190;177;166;158;196;241;219;179;137;94;73;66;69;2739
"310140 Albertina";183;189;244;267;234;231;231;246;220;182;165;161;125;98;79;59;62;2976
"310150 Além Paraíba";2155;2346;2692;2830;2621;2603;2643;2501;2443;2488;2388;2009;1541;1164;930;762;952;35068
"310160 Alfenas";4795;5084;5849;6378;6527;6473;6206;5567;5223;5213;4828;4089;3229;2369;1751;1252;1413;76246
"310163 Alfredo Vasconcelos";430;473;529;564;527;488;487;478;490;458;371;307;238;187;139;95;91;6352
"310170 Almenara";2944;3183;3414;3423;3454;3457;3162;2807;2613;2443;2066;1773;1487;1234;1034;743;803;40040
"310180 Alpercata";485;575;697;680;567;536;557;533;462;442;404;346;283;245;208;149;163;7332
"310190 Alpinópolis";1206;1288;1570;1694;1645;1584;1446;1314;1342;1328;1191;1016;781;551;437;317;353;19063
"310200 Alterosa";876;969;1100;1103;1078;1101;1051;1000;974;957;883;758;647;518;421;311;336;14083
"310205 Alto Caparaó";398;414;469;474;475;479;443;407;373;357;311;258;195;139;114;90;102;5498
"315350 Alto Jequitibá";548;609;701;686;664;664;656;589;563;574;530;463;341;237;202;178;231;8436
"310210 Alto Rio Doce";658;781;982;1076;980;865;828;787;836;829;749;661;573;470;384;274;332;12065
"310220 Alvarenga";285;323;366;375;337;328;321;293;262;282;289;245;189;153;124;94;118;4384
"310230 Alvinópolis";935;1041;1240;1312;1210;1161;1163;1056;1031;1054;949;798;681;554;448;375;456;15464
"310240 Alvorada de Minas";351;387;400;358;292;251;234;230;215;191;166;153;111;83;73;49;66;3610
"310250 Amparo do Serra";294;342;435;448;359;332;355;341;336;329;311;266;221;180;156;121;157;4983
"310260 Andradas";2231;2371;2722;3041;3144;3188;3097;2914;2844;2768;2513;2157;1721;1300;1004;792;864;38671
"310280 Andrelândia";683;802;908;948;862;856;941;925;905;904;849;753;633;479;356;269;284;12357
"310285 Angelândia";720;833;985;913;754;664;603;512;454;392;323;284;237;190;149;107;115;8235
"310290 Antônio Carlos";645;746;892;973;923;866;873;892;852;826;720;574;497;393;282;186;207;11347
"310300 Antônio Dias";703;751;895;914;803;721;706;676;658;635;558;454;354;273;236;153;154;9644
"310310 Antônio Prado de Minas";69;94;115;122;116;113;109;108;118;132;125;107;89;76;67;55;63;1678
"310320 Araçaí";140;162;204;197;177;168;160;152;166;171;145;117;100;81;62;50;47;2299
"310330 Aracitaba";92;119;150;167;150;132;132;126;158;167;163;146;115;87;66;56;62;2088
"310340 Araçuaí";2730;2949;3321;3569;3300;3059;2745;2448;2288;2154;1838;1466;1224;1062;922;709;899;36683
"310350 Araguari";6810;7375;8273;8841;9302;9312;9084;8490;8397;8286;7265;5979;4861;3733;2888;2010;2162;113068
"310360 Arantina";157;190;236;231;180;166;186;199;233;236;204;175;139;100;89;71;65;2857
"310370 Araponga";584;664;771;779;753;739;722;624;526;488;419;350;282;203;167;125;137;8333
"310375 Araporã";511;486;541;596;596;579;567;502;456;368;293;249;213;163;117;86;74;6397
"310380 Arapuá";149;161;190;211;177;177;200;231;238;212;172;168;157;123;105;76;81;2828
"310390 Araújos";616;635;675;689;748;755;679;610;576;544;473;363;279;217;171;123;161;8314
"310400 Araxá";5954;6313;7128;7942;8623;8975;8429;7273;6844;6753;6285;5305;3929;2846;2136;1504;1639;97878
"310410 Arceburgo";675;689;745;831;917;875;768;691;663;620;573;515;408;318;251;183;211;9933
"310420 Arcos";2185;2347;2697;2977;3146;3361;3261;2893;2835;2826;2541;2072;1590;1168;831;574;612;37916
