"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"310530 Bandeira do Sul";336;357;421;500;490;457;429;410;400;372;341;292;227;190;134;92;94;5542
"310540 Barão de Cocais";2095;2165;2393;2670;2696;2783;2632;2290;2011;1960;1875;1513;1076;710;511;397;470;30247
"310550 Barão de Monte Alto";324;361;416;462;443;390;365;358;370;393;381;332;295;236;190;153;210;5679
"310560 Barbacena";7527;8121;9349;10729;10937;10695;10369;9824;9515;9618;9032;7678;5826;4374;3138;2243;2605;131580
"310570 Barra Longa";314;342;399;433;389;354;364;373;391;417;436;401;336;261;214;184;263;5871
"310590 Barroso";1286;1402;1594;1669;1627;1603;1581;1518;1481;1485;1341;1055;824;641;473;337;333;20250
"310600 Bela Vista de Minas";729;766;846;871;811;820;798;717;667;694;645;499;378;318;250;204;198;10211
"310610 Belmiro Braga";227;237;265;284;260;222;223;248;263;268;216;168;150;137;110;78;97;3453
"310620 Belo Horizonte";133385;143007;166276;188801;202532;222544;222031;197625;172785;167235;156815;134124;105984;81106;59433;43486;53253;2450422
"310630 Belo Oriente";1885;1929;2182;2376;2154;2109;2074;1892;1673;1482;1286;1067;845;623;462;353;417;24809
"310640 Belo Vale";419;464;539;601;578;558;569;534;546;578;548;455;401;307;228;173;190;7688
"310650 Berilo";815;930;1166;1298;1214;1064;945;837;779;735;611;520;419;322;265;197;206;12323
"310665 Berizal";352;372;391;398;416;407;358;297;270;262;255;210;168;136;100;69;86;4547
"310660 Bertópolis";435;406;411;414;371;336;330;297;267;258;225;192;171;147;140;92;97;4589
